date,district,daily_consumption_kwh,temperature_c,day_of_week,population
2022-04-18,District B,32.3,10.3,Monday,15000
2022-04-18,District C,68.9,17.9,Monday,20000
2022-04-18,District D,50.9,13.1,Monday,12000
2022-04-18,District E,40.7,11.7,Monday,8000
2022-04-19,District A,22.7,16.3,Tuesday,10000
2022-04-19,District B,69.6,13.3,Tuesday,15000
2022-04-19,District C,68.0,17.6,Tuesday,20000
2022-04-19,District D,30.0,14.9,Tuesday,12000
2022-04-19,District E,21.6,17.9,Tuesday,8000
2022-04-20,District A,39.5,17.5,Wednesday,10000
2022-04-20,District B,53.1,14.9,Wednesday,15000
2022-04-20,District C,50.6,11.8,Wednesday,20000
2022-04-20,District D,30.7,11.8,Wednesday,12000
2022-04-20,District E,24.4,16.2,Wednesday,8000
2022-04-21,District A,49.1,10.5,Thursday,10000
2022-04-21,District B,71.7,17.1,Thursday,15000
2022-04-21,District C,50.4,18.0,Thursday,20000
2022-04-21,District D,51.3,13.2,Thursday,12000
2022-04-21,District E,19.7,15.6,Thursday,8000
2022-04-22,District A,28.1,16.5,Friday,10000
2022-04-22,District B,56.9,11.8,Friday,15000
2022-04-22,District C,78.5,14.7,Friday,20000
2022-04-22,District D,58.4,10.7,Friday,12000
2022-04-22,District E,20.1,12.1,Friday,8000
2022-04-23,District A,48.7,17.1,Saturday,10000
2022-04-23,District B,66.4,16.9,Saturday,15000
2022-04-23,District C,73.1,15.2,Saturday,20000
2022-04-23,District D,38.7,10.7,Saturday,12000
2022-04-23,District E,22.2,13.0,Saturday,8000
2022-04-24,District A,34.9,15.8,Sunday,10000
2022-04-24,District B,39.9,10.6,Sunday,15000
2022-04-24,District C,44.6,15.5,Sunday,20000
2022-04-24,District D,41.8,16.8,Sunday,12000
2022-04-24,District E,30.2,13.8,Sunday,8000
2022-04-25,District A,32.0,16.6,Monday,10000
2022-04-25,District B,58.2,15.4,Monday,15000
2022-04-25,District C,97.4,12.1,Monday,20000
2022-04-25,District D,50.1,16.4,Monday,12000
2022-04-25,District E,38.7,16.8,Monday,8000
2022-04-26,District A,45.1,15.7,Tuesday,10000
2022-04-26,District B,60.6,15.6,Tuesday,15000
2022-04-26,District C,85.2,14.9,Tuesday,20000
2022-04-26,District D,55.7,11.3,Tuesday,12000
2022-04-26,District E,16.7,17.0,Tuesday,8000
2022-04-27,District A,23.9,16.6,Wednesday,10000
2022-04-27,District B,63.5,12.7,Wednesday,15000
2022-04-27,District C,89.1,11.3,Wednesday,20000
2022-04-27,District D,42.3,16.7,Wednesday,12000
2022-04-27,District E,22.9,10.1,Wednesday,8000
2022-04-28,District A,49.4,14.9,Thursday,10000
2022-04-28,District B,41.7,15.1,Thursday,15000
2022-04-28,District C,72.4,15.1,Thursday,20000
2022-04-28,District D,27.9,16.2,Thursday,12000
2022-04-28,District E,29.0,16.1,Thursday,8000
2022-04-29,District A,31.8,17.7,Friday,10000
2022-04-29,District B,75.5,15.1,Friday,15000
2022-04-29,District C,101.0,10.8,Friday,20000
2022-04-29,District D,27.8,15.5,Friday,12000
2022-04-29,District E,34.6,12.4,Friday,8000
2022-04-30,District A,37.5,10.5,Saturday,10000
2022-04-30,District B,57.9,12.8,Saturday,15000
2022-04-30,District C,92.3,10.4,Saturday,20000
2022-04-30,District D,58.9,17.8,Saturday,12000
2022-04-30,District E,19.1,16.0,Saturday,8000
2022-05-01,District A,20.7,20.3,Sunday,10000
2022-05-01,District B,44.6,15.2,Sunday,15000
2022-05-01,District C,86.2,18.4,Sunday,20000
2022-05-01,District D,40.1,19.8,Sunday,12000
2022-05-01,District E,39.9,16.9,Sunday,8000
2022-05-02,District A,35.2,18.0,Monday,10000
2022-05-02,District B,69.1,16.1,Monday,15000
2022-05-02,District C,55.9,19.9,Monday,20000
2022-05-02,District D,50.9,15.6,Monday,12000
2022-05-02,District E,23.7,19.6,Monday,8000
2022-05-03,District A,24.5,21.7,Tuesday,10000
2022-05-03,District B,72.5,18.0,Tuesday,15000
2022-05-03,District C,78.3,17.9,Tuesday,20000
2022-05-03,District D,33.9,17.8,Tuesday,12000
2022-05-03,District E,25.8,21.9,Tuesday,8000
2022-05-04,District A,26.9,21.3,Wednesday,10000
2022-05-04,District B,31.4,16.5,Wednesday,15000
2022-05-04,District C,62.1,19.6,Wednesday,20000
2022-05-04,District D,41.0,21.1,Wednesday,12000
2022-05-04,District E,20.5,21.8,Wednesday,8000
2022-05-05,District A,43.3,21.1,Thursday,10000
2022-05-05,District B,68.0,20.4,Thursday,15000
2022-05-05,District C,77.6,20.3,Thursday,20000
2022-05-05,District D,25.2,15.9,Thursday,12000
2022-05-05,District E,30.8,21.4,Thursday,8000
2022-05-06,District A,36.2,20.6,Friday,10000
2022-05-06,District B,37.4,15.8,Friday,15000
2022-05-06,District C,69.1,19.8,Friday,20000
2022-05-06,District D,43.8,16.4,Friday,12000
2022-05-06,District E,31.5,15.4,Friday,8000
2022-05-07,District A,43.9,16.9,Saturday,10000
2022-05-07,District B,50.5,17.2,Saturday,15000
2022-05-07,District C,44.3,15.1,Saturday,20000
2022-05-07,District D,41.3,17.7,Saturday,12000
2022-05-07,District E,23.0,19.2,Saturday,8000
2022-05-08,District A,45.8,19.9,Sunday,10000
2022-05-08,District B,31.8,20.5,Sunday,15000
2022-05-08,District C,46.3,18.4,Sunday,20000
2022-05-08,District D,59.5,16.7,Sunday,12000
2022-05-08,District E,28.0,16.0,Sunday,8000
2022-05-09,District A,43.1,19.3,Monday,10000
2022-05-09,District B,32.0,18.9,Monday,15000
2022-05-09,District C,74.6,17.3,Monday,20000
2022-05-09,District D,38.5,15.6,Monday,12000
2022-05-09,District E,18.8,15.2,Monday,8000
2022-05-10,District A,24.0,17.8,Tuesday,10000
2022-05-10,District B,61.0,19.0,Tuesday,15000
2022-05-10,District C,52.0,20.6,Tuesday,20000
2022-05-10,District D,27.8,16.2,Tuesday,12000
2022-05-10,District E,33.0,19.5,Tuesday,8000
2022-05-11,District A,48.1,15.2,Wednesday,10000
2022-05-11,District B,54.4,15.4,Wednesday,15000
2022-05-11,District C,92.3,20.0,Wednesday,20000
2022-05-11,District D,52.9,20.0,Wednesday,12000
2022-05-11,District E,35.6,17.4,Wednesday,8000
2022-05-12,District A,46.8,15.6,Thursday,10000
2022-05-12,District B,66.8,18.8,Thursday,15000
2022-05-12,District C,78.6,18.2,Thursday,20000
2022-05-12,District D,50.3,18.7,Thursday,12000
2022-05-12,District E,17.4,15.6,Thursday,8000
2022-05-13,District A,26.0,16.7,Friday,10000
2022-05-13,District B,41.9,21.1,Friday,15000
2022-05-13,District C,63.2,21.8,Friday,20000
2022-05-13,District D,55.1,16.3,Friday,12000
2022-05-13,District E,29.4,19.6,Friday,8000
2022-05-14,District A,41.6,18.9,Saturday,10000
2022-05-14,District B,74.8,16.6,Saturday,15000
2022-05-14,District C,79.0,21.8,Saturday,20000
2022-05-14,District D,48.5,16.4,Saturday,12000
2022-05-14,District E,16.7,15.5,Saturday,8000
2022-05-15,District A,33.9,16.8,Sunday,10000
2022-05-15,District B,62.7,21.1,Sunday,15000
2022-05-15,District C,65.5,20.2,Sunday,20000
2022-05-15,District D,37.4,17.4,Sunday,12000
2022-05-15,District E,17.0,21.9,Sunday,8000
2022-05-16,District A,39.2,21.1,Monday,10000
2022-05-16,District B,65.8,18.1,Monday,15000
2022-05-16,District C,97.0,18.4,Monday,20000
2022-05-16,District D,41.1,21.3,Monday,12000
2022-05-16,District E,31.7,16.9,Monday,8000
2022-05-17,District A,26.3,21.4,Tuesday,10000
2022-05-17,District B,58.4,19.4,Tuesday,15000
2022-05-17,District C,47.9,20.1,Tuesday,20000
2022-05-17,District D,56.7,20.0,Tuesday,12000
2022-05-17,District E,21.7,16.3,Tuesday,8000
2022-05-18,District A,25.4,21.8,Wednesday,10000
2022-05-18,District B,52.2,21.0,Wednesday,15000
2022-05-18,District C,92.2,16.7,Wednesday,20000
2022-05-18,District D,42.5,18.1,Wednesday,12000
2022-05-18,District E,30.2,17.5,Wednesday,8000
2022-05-19,District A,31.7,16.1,Thursday,10000
2022-05-19,District B,41.6,21.8,Thursday,15000
2022-05-19,District C,59.5,19.6,Thursday,20000
2022-05-19,District D,28.7,20.4,Thursday,12000
2022-05-19,District E,26.9,21.8,Thursday,8000
2022-05-20,District A,23.3,16.7,Friday,10000
2022-05-20,District B,56.1,16.2,Friday,15000
2022-05-20,District C,94.2,17.4,Friday,20000
2022-05-20,District D,34.6,18.0,Friday,12000
2022-05-20,District E,34.6,19.3,Friday,8000
2022-05-21,District A,25.0,16.2,Saturday,10000
2022-05-21,District B,63.1,15.3,Saturday,15000
2022-05-21,District C,68.5,19.6,Saturday,20000
2022-05-21,District D,53.0,20.9,Saturday,12000
2022-05-21,District E,36.8,19.1,Saturday,8000
2022-05-22,District A,23.4,16.4,Sunday,10000
2022-05-22,District B,32.6,16.9,Sunday,15000
2022-05-22,District C,96.2,18.7,Sunday,20000
2022-05-22,District D,28.4,15.3,Sunday,12000
2022-05-22,District E,38.4,18.2,Sunday,8000
2022-05-23,District A,37.0,17.2,Monday,10000
2022-05-23,District B,38.5,15.3,Monday,15000
2022-05-23,District C,102.8,21.9,Monday,20000
2022-05-23,District D,61.2,15.0,Monday,12000
2022-05-23,District E,38.7,19.5,Monday,8000
2022-05-24,District A,35.5,18.2,Tuesday,10000
2022-05-24,District B,60.0,18.4,Tuesday,15000
2022-05-24,District C,41.8,16.0,Tuesday,20000
2022-05-24,District D,49.4,17.2,Tuesday,12000
2022-05-24,District E,32.2,16.4,Tuesday,8000
2022-05-25,District A,22.8,21.8,Wednesday,10000
2022-05-25,District B,50.0,19.7,Wednesday,15000
2022-05-25,District C,50.6,21.1,Wednesday,20000
2022-05-25,District D,54.2,19.8,Wednesday,12000
2022-05-25,District E,32.4,21.6,Wednesday,8000
2022-05-26,District A,38.5,18.5,Thursday,10000
2022-05-26,District B,55.7,21.1,Thursday,15000
2022-05-26,District C,95.9,15.2,Thursday,20000
2022-05-26,District D,48.4,19.8,Thursday,12000
2022-05-26,District E,31.8,16.5,Thursday,8000
2022-05-27,District A,41.5,17.8,Friday,10000
2022-05-27,District B,62.6,15.7,Friday,15000
2022-05-27,District C,45.0,22.0,Friday,20000
2022-05-27,District D,40.6,21.8,Friday,12000
2022-05-27,District E,36.5,21.1,Friday,8000
2022-05-28,District A,42.2,19.0,Saturday,10000
2022-05-28,District B,48.2,21.1,Saturday,15000
2022-05-28,District C,80.1,17.3,Saturday,20000
2022-05-28,District D,51.4,20.7,Saturday,12000
2022-05-28,District E,26.5,20.6,Saturday,8000
2022-05-29,District A,23.6,20.7,Sunday,10000
2022-05-29,District B,30.3,18.8,Sunday,15000
2022-05-29,District C,62.0,17.3,Sunday,20000
2022-05-29,District D,49.0,17.8,Sunday,12000
2022-05-29,District E,26.8,17.7,Sunday,8000
2022-05-30,District A,32.8,16.7,Monday,10000
2022-05-30,District B,35.0,16.6,Monday,15000
2022-05-30,District C,84.1,19.2,Monday,20000
2022-05-30,District D,42.7,19.3,Monday,12000
2022-05-30,District E,38.6,17.7,Monday,8000
2022-05-31,District A,34.4,18.6,Tuesday,10000
2022-05-31,District B,45.4,15.2,Tuesday,15000
2022-05-31,District C,63.9,17.7,Tuesday,20000
2022-05-31,District D,43.2,19.1,Tuesday,12000
2022-05-31,District E,34.4,19.3,Tuesday,8000
2022-06-01,District A,37.4,26.5,Wednesday,10000
2022-06-01,District B,27.7,27.6,Wednesday,15000
2022-06-01,District C,40.5,21.6,Wednesday,20000
2022-06-01,District D,50.7,25.2,Wednesday,12000
2022-06-01,District E,38.2,21.9,Wednesday,8000
2022-06-02,District A,48.0,20.5,Thursday,10000
2022-06-02,District B,34.6,22.8,Thursday,15000
2022-06-02,District C,55.4,23.9,Thursday,20000
2022-06-02,District D,35.1,22.3,Thursday,12000
2022-06-02,District E,26.0,26.4,Thursday,8000
2022-06-03,District A,40.2,22.5,Friday,10000
2022-06-03,District B,39.9,25.7,Friday,15000
2022-06-03,District C,49.7,23.3,Friday,20000
2022-06-03,District D,50.9,21.4,Friday,12000
2022-06-03,District E,30.0,21.5,Friday,8000
2022-06-04,District A,20.9,25.7,Saturday,10000
2022-06-04,District B,41.5,24.5,Saturday,15000
2022-06-04,District C,62.1,27.7,Saturday,20000
2022-06-04,District D,39.4,26.4,Saturday,12000
2022-06-04,District E,31.2,20.3,Saturday,8000
2022-06-05,District A,34.2,27.6,Sunday,10000
2022-06-05,District B,62.8,26.6,Sunday,15000
2022-06-05,District C,52.7,21.8,Sunday,20000
2022-06-05,District D,38.8,24.9,Sunday,12000
2022-06-05,District E,33.8,26.7,Sunday,8000
2022-06-06,District A,28.5,22.8,Monday,10000
2022-06-06,District B,40.0,26.2,Monday,15000
2022-06-06,District C,61.8,26.6,Monday,20000
2022-06-06,District D,25.9,25.3,Monday,12000
2022-06-06,District E,28.2,25.0,Monday,8000
2022-06-07,District A,25.0,24.7,Tuesday,10000
2022-06-07,District B,61.9,25.9,Tuesday,15000
2022-06-07,District C,45.7,21.7,Tuesday,20000
2022-06-07,District D,47.1,20.2,Tuesday,12000
2022-06-07,District E,29.1,24.9,Tuesday,8000
2022-06-08,District A,31.7,21.9,Wednesday,10000
2022-06-08,District B,52.4,24.8,Wednesday,15000
2022-06-08,District C,43.4,27.9,Wednesday,20000
2022-06-08,District D,34.7,25.6,Wednesday,12000
2022-06-08,District E,33.2,23.4,Wednesday,8000
2022-06-09,District A,44.8,25.5,Thursday,10000
2022-06-09,District B,34.7,21.0,Thursday,15000
2022-06-09,District C,67.2,25.8,Thursday,20000
2022-06-09,District D,26.9,22.2,Thursday,12000
2022-06-09,District E,37.5,20.7,Thursday,8000
2022-06-10,District A,31.2,21.5,Friday,10000
2022-06-10,District B,48.3,21.8,Friday,15000
2022-06-10,District C,74.7,20.6,Friday,20000
2022-06-10,District D,55.5,20.5,Friday,12000
2022-06-10,District E,30.4,21.9,Friday,8000
2022-06-11,District A,35.6,27.0,Saturday,10000
2022-06-11,District B,44.6,24.3,Saturday,15000
2022-06-11,District C,80.2,22.7,Saturday,20000
2022-06-11,District D,43.0,28.0,Saturday,12000
2022-06-11,District E,33.5,24.5,Saturday,8000
2022-06-12,District A,21.8,23.7,Sunday,10000
2022-06-12,District B,73.1,24.5,Sunday,15000
2022-06-12,District C,81.4,21.4,Sunday,20000
2022-06-12,District D,43.3,21.6,Sunday,12000
2022-06-12,District E,26.8,20.8,Sunday,8000
2022-06-13,District A,28.8,26.0,Monday,10000
2022-06-13,District B,62.2,25.3,Monday,15000
2022-06-13,District C,51.1,27.4,Monday,20000
2022-06-13,District D,31.0,23.2,Monday,12000
2022-06-13,District E,36.1,27.9,Monday,8000
2022-06-14,District A,45.3,24.3,Tuesday,10000
2022-06-14,District B,58.1,24.2,Tuesday,15000
2022-06-14,District C,85.3,20.7,Tuesday,20000
2022-06-14,District D,53.7,21.0,Tuesday,12000
2022-06-14,District E,29.7,26.3,Tuesday,8000
2022-06-15,District A,29.1,20.3,Wednesday,10000
2022-06-15,District B,46.2,22.1,Wednesday,15000
2022-06-15,District C,96.2,20.7,Wednesday,20000
2022-06-15,District D,35.0,24.4,Wednesday,12000
2022-06-15,District E,26.7,23.2,Wednesday,8000
2022-06-16,District A,35.5,24.8,Thursday,10000
2022-06-16,District B,47.1,27.4,Thursday,15000
2022-06-16,District C,82.0,27.9,Thursday,20000
2022-06-16,District D,57.5,21.7,Thursday,12000
2022-06-16,District E,35.6,20.9,Thursday,8000
2022-06-17,District A,48.7,23.0,Friday,10000
2022-06-17,District B,62.6,26.9,Friday,15000
2022-06-17,District C,55.1,26.3,Friday,20000
2022-06-17,District D,40.4,20.6,Friday,12000
2022-06-17,District E,34.3,21.4,Friday,8000
2022-06-18,District A,49.3,22.8,Saturday,10000
2022-06-18,District B,60.3,25.1,Saturday,15000
2022-06-18,District C,91.7,21.1,Saturday,20000
2022-06-18,District D,37.4,27.4,Saturday,12000
2022-06-18,District E,34.4,24.9,Saturday,8000
2022-06-19,District A,35.1,21.4,Sunday,10000
2022-06-19,District B,36.6,23.2,Sunday,15000
2022-06-19,District C,44.1,22.9,Sunday,20000
2022-06-19,District D,28.9,20.2,Sunday,12000
2022-06-19,District E,26.3,27.7,Sunday,8000
2022-06-20,District A,31.2,27.7,Monday,10000
2022-06-20,District B,55.4,22.5,Monday,15000
2022-06-20,District C,48.7,23.5,Monday,20000
2022-06-20,District D,30.0,25.1,Monday,12000
2022-06-20,District E,33.2,25.0,Monday,8000
2022-06-21,District A,21.8,21.2,Tuesday,10000
2022-06-21,District B,45.6,26.2,Tuesday,15000
2022-06-21,District C,99.7,20.5,Tuesday,20000
2022-06-21,District D,49.0,20.5,Tuesday,12000
2022-06-21,District E,19.6,27.9,Tuesday,8000
2022-06-22,District A,23.6,21.1,Wednesday,10000
2022-06-22,District B,34.5,22.4,Wednesday,15000
2022-06-22,District C,39.4,25.5,Wednesday,20000
2022-06-22,District D,59.9,24.1,Wednesday,12000
2022-06-22,District E,27.7,26.5,Wednesday,8000
2022-06-23,District A,38.7,22.5,Thursday,10000
2022-06-23,District B,49.2,24.2,Thursday,15000
2022-06-23,District C,93.2,21.0,Thursday,20000
2022-06-23,District D,31.0,23.6,Thursday,12000
2022-06-23,District E,25.9,22.9,Thursday,8000
2022-06-24,District A,39.7,26.6,Friday,10000
2022-06-24,District B,28.8,26.2,Friday,15000
2022-06-24,District C,72.3,23.3,Friday,20000
2022-06-24,District D,35.0,20.2,Friday,12000
2022-06-24,District E,18.2,26.1,Friday,8000
2022-06-25,District A,26.5,24.3,Saturday,10000
2022-06-25,District B,40.9,20.1,Saturday,15000
2022-06-25,District C,79.3,27.8,Saturday,20000
2022-06-25,District D,37.4,27.7,Saturday,12000
2022-06-25,District E,29.2,20.9,Saturday,8000
2022-06-26,District A,45.3,23.6,Sunday,10000
2022-06-26,District B,52.0,20.8,Sunday,15000
2022-06-26,District C,59.5,21.2,Sunday,20000
2022-06-26,District D,37.0,25.9,Sunday,12000
2022-06-26,District E,25.5,23.0,Sunday,8000
2022-06-27,District A,45.7,23.7,Monday,10000
2022-06-27,District B,69.0,27.1,Monday,15000
2022-06-27,District C,55.7,26.3,Monday,20000
2022-06-27,District D,37.6,25.5,Monday,12000
2022-06-27,District E,38.0,22.0,Monday,8000
2022-06-28,District A,47.1,20.3,Tuesday,10000
2022-06-28,District B,58.7,23.7,Tuesday,15000
2022-06-28,District C,84.3,25.3,Tuesday,20000
2022-06-28,District D,41.5,25.1,Tuesday,12000
2022-06-28,District E,28.4,20.5,Tuesday,8000
2022-06-29,District A,42.1,21.2,Wednesday,10000
2022-06-29,District B,60.6,24.1,Wednesday,15000
2022-06-29,District C,45.1,20.3,Wednesday,20000
2022-06-29,District D,23.9,25.7,Wednesday,12000
2022-06-29,District E,16.3,20.6,Wednesday,8000
2022-06-30,District A,37.9,27.7,Thursday,10000
2022-06-30,District B,43.3,22.8,Thursday,15000
2022-06-30,District C,86.5,22.8,Thursday,20000
2022-06-30,District D,27.6,25.3,Thursday,12000
2022-06-30,District E,18.4,21.4,Thursday,8000
2022-07-01,District A,40.6,31.6,Friday,10000
2022-07-01,District B,29.2,27.7,Friday,15000
2022-07-01,District C,92.7,25.8,Friday,20000
2022-07-01,District D,48.8,28.0,Friday,12000
2022-07-01,District E,23.8,31.2,Friday,8000
2022-07-02,District A,21.3,27.1,Saturday,10000
2022-07-02,District B,58.4,31.2,Saturday,15000
2022-07-02,District C,64.6,31.4,Saturday,20000
2022-07-02,District D,53.0,25.4,Saturday,12000
2022-07-02,District E,20.7,33.0,Saturday,8000
2022-07-03,District A,34.3,34.8,Sunday,10000
2022-07-03,District B,57.3,30.8,Sunday,15000
2022-07-03,District C,71.4,33.1,Sunday,20000
2022-07-03,District D,32.6,26.3,Sunday,12000
2022-07-03,District E,19.3,34.3,Sunday,8000
2022-07-04,District A,31.1,28.7,Monday,10000
2022-07-04,District B,54.4,29.4,Monday,15000
2022-07-04,District C,51.4,34.4,Monday,20000
2022-07-04,District D,29.4,26.2,Monday,12000
2022-07-04,District E,29.8,33.9,Monday,8000
2022-07-05,District A,40.0,27.9,Tuesday,10000
2022-07-05,District B,61.3,33.6,Tuesday,15000
2022-07-05,District C,49.6,34.2,Tuesday,20000
2022-07-05,District D,36.5,32.6,Tuesday,12000
2022-07-05,District E,30.1,33.4,Tuesday,8000
2022-07-06,District A,35.7,32.8,Wednesday,10000
2022-07-06,District B,49.1,26.8,Wednesday,15000
2022-07-06,District C,86.6,34.8,Wednesday,20000
2022-07-06,District D,26.9,25.4,Wednesday,12000
2022-07-06,District E,30.1,26.3,Wednesday,8000
2022-07-07,District A,23.8,33.2,Thursday,10000
2022-07-07,District B,61.0,30.1,Thursday,15000
2022-07-07,District C,65.3,32.3,Thursday,20000
2022-07-07,District D,38.1,30.9,Thursday,12000
2022-07-07,District E,26.6,28.0,Thursday,8000
2022-07-08,District A,43.7,31.9,Friday,10000
2022-07-08,District B,60.7,31.4,Friday,15000
2022-07-08,District C,64.0,26.6,Friday,20000
2022-07-08,District D,31.1,25.1,Friday,12000
2022-07-08,District E,37.6,32.3,Friday,8000
2022-07-09,District A,28.8,26.0,Saturday,10000
2022-07-09,District B,35.3,33.0,Saturday,15000
2022-07-09,District C,75.6,30.6,Saturday,20000
2022-07-09,District D,27.7,31.2,Saturday,12000
2022-07-09,District E,31.3,28.6,Saturday,8000
2022-07-10,District A,18.1,30.5,Sunday,10000
2022-07-10,District B,28.4,32.6,Sunday,15000
2022-07-10,District C,46.9,32.5,Sunday,20000
2022-07-10,District D,33.5,34.6,Sunday,12000
2022-07-10,District E,17.6,28.3,Sunday,8000
2022-07-11,District A,43.8,28.1,Monday,10000
2022-07-11,District B,44.0,35.0,Monday,15000
2022-07-11,District C,78.7,29.5,Monday,20000
2022-07-11,District D,42.9,33.9,Monday,12000
2022-07-11,District E,24.5,28.9,Monday,8000
2022-07-12,District A,18.1,32.0,Tuesday,10000
2022-07-12,District B,41.4,31.2,Tuesday,15000
2022-07-12,District C,41.0,32.9,Tuesday,20000
2022-07-12,District D,37.2,30.9,Tuesday,12000
2022-07-12,District E,15.8,31.4,Tuesday,8000
2022-07-13,District A,33.2,30.8,Wednesday,10000
2022-07-13,District B,51.4,30.6,Wednesday,15000
2022-07-13,District C,79.5,31.8,Wednesday,20000
2022-07-13,District D,48.3,27.7,Wednesday,12000
2022-07-13,District E,16.1,30.0,Wednesday,8000
2022-07-14,District A,27.0,25.6,Thursday,10000
2022-07-14,District B,55.7,32.8,Thursday,15000
2022-07-14,District C,63.9,32.9,Thursday,20000
2022-07-14,District D,26.4,29.4,Thursday,12000
2022-07-14,District E,23.8,28.3,Thursday,8000
2022-07-15,District A,25.2,25.9,Friday,10000
2022-07-15,District B,59.6,31.0,Friday,15000
2022-07-15,District C,90.7,35.0,Friday,20000
2022-07-15,District D,37.0,31.4,Friday,12000
2022-07-15,District E,32.9,31.4,Friday,8000
2022-07-16,District A,29.1,26.2,Saturday,10000
2022-07-16,District B,42.5,33.4,Saturday,15000
2022-07-16,District C,67.7,30.7,Saturday,20000
2022-07-16,District D,33.3,26.8,Saturday,12000
2022-07-16,District E,15.0,28.3,Saturday,8000
2022-07-17,District A,40.5,25.2,Sunday,10000
2022-07-17,District B,48.0,27.7,Sunday,15000
2022-07-17,District C,86.8,28.0,Sunday,20000
2022-07-17,District D,35.5,27.6,Sunday,12000
2022-07-17,District E,32.6,33.7,Sunday,8000
2022-07-18,District A,41.7,26.9,Monday,10000
2022-07-18,District B,48.9,29.6,Monday,15000
2022-07-18,District C,42.4,26.3,Monday,20000
2022-07-18,District D,39.6,32.3,Monday,12000
2022-07-18,District E,31.7,29.4,Monday,8000
2022-07-19,District A,22.3,32.7,Tuesday,10000
2022-07-19,District B,32.5,31.1,Tuesday,15000
2022-07-19,District C,71.5,32.5,Tuesday,20000
2022-07-19,District D,23.8,34.6,Tuesday,12000
2022-07-19,District E,20.5,25.6,Tuesday,8000
2022-07-20,District A,24.7,27.6,Wednesday,10000
2022-07-20,District B,37.1,34.1,Wednesday,15000
2022-07-20,District C,77.0,27.7,Wednesday,20000
2022-07-20,District D,46.8,29.5,Wednesday,12000
2022-07-20,District E,24.9,25.7,Wednesday,8000
2022-07-21,District A,19.7,25.3,Thursday,10000
2022-07-21,District B,32.6,34.1,Thursday,15000
2022-07-21,District C,58.2,30.3,Thursday,20000
2022-07-21,District D,50.8,28.5,Thursday,12000
2022-07-21,District E,28.7,25.2,Thursday,8000
2022-07-22,District A,34.8,34.6,Friday,10000
2022-07-22,District B,30.6,34.4,Friday,15000
2022-07-22,District C,52.6,29.2,Friday,20000
2022-07-22,District D,56.1,32.3,Friday,12000
2022-07-22,District E,30.0,27.6,Friday,8000
2022-07-23,District A,33.3,27.0,Saturday,10000
2022-07-23,District B,66.4,29.6,Saturday,15000
2022-07-23,District C,54.9,31.1,Saturday,20000
2022-07-23,District D,26.5,26.1,Saturday,12000
2022-07-23,District E,19.8,27.3,Saturday,8000
2022-07-24,District A,33.2,33.5,Sunday,10000
2022-07-24,District B,31.6,30.2,Sunday,15000
2022-07-24,District C,75.0,33.6,Sunday,20000
2022-07-24,District D,44.5,25.7,Sunday,12000
2022-07-24,District E,16.2,30.4,Sunday,8000
2022-07-25,District A,32.6,29.6,Monday,10000
2022-07-25,District B,68.6,26.7,Monday,15000
2022-07-25,District C,75.7,33.5,Monday,20000
2022-07-25,District D,36.7,29.6,Monday,12000
2022-07-25,District E,27.5,31.5,Monday,8000
2022-07-26,District A,31.8,25.6,Tuesday,10000
2022-07-26,District B,45.6,33.1,Tuesday,15000
2022-07-26,District C,78.5,25.5,Tuesday,20000
2022-07-26,District D,30.0,27.0,Tuesday,12000
2022-07-26,District E,21.5,26.6,Tuesday,8000
2022-07-27,District A,32.0,32.6,Wednesday,10000
2022-07-27,District B,62.6,27.0,Wednesday,15000
2022-07-27,District C,83.0,33.8,Wednesday,20000
2022-07-27,District D,36.2,27.4,Wednesday,12000
2022-07-27,District E,31.1,34.8,Wednesday,8000
2022-07-28,District A,19.8,25.3,Thursday,10000
2022-07-28,District B,63.8,29.6,Thursday,15000
2022-07-28,District C,62.9,30.4,Thursday,20000
2022-07-28,District D,42.9,26.1,Thursday,12000
2022-07-28,District E,22.6,33.2,Thursday,8000
2022-07-29,District A,46.2,32.8,Friday,10000
2022-07-29,District B,50.6,27.0,Friday,15000
2022-07-29,District C,82.8,27.9,Friday,20000
2022-07-29,District D,44.3,30.8,Friday,12000
2022-07-29,District E,24.1,33.0,Friday,8000
2022-07-30,District A,32.4,34.2,Saturday,10000
2022-07-30,District B,55.2,26.6,Saturday,15000
2022-07-30,District C,53.1,32.9,Saturday,20000
2022-07-30,District D,51.0,33.6,Saturday,12000
2022-07-30,District E,35.6,27.8,Saturday,8000
2022-07-31,District A,23.5,26.4,Sunday,10000
2022-07-31,District B,63.2,26.8,Sunday,15000
2022-07-31,District C,44.2,31.5,Sunday,20000
2022-07-31,District D,41.5,29.4,Sunday,12000
2022-07-31,District E,33.5,25.8,Sunday,8000
2022-08-01,District A,33.2,32.0,Monday,10000
2022-08-01,District B,46.1,33.7,Monday,15000
2022-08-01,District C,75.7,33.8,Monday,20000
2022-08-01,District D,28.3,30.3,Monday,12000
2022-08-01,District E,24.8,32.8,Monday,8000
2022-08-02,District A,18.3,25.6,Tuesday,10000
2022-08-02,District B,48.4,29.6,Tuesday,15000
2022-08-02,District C,84.1,31.2,Tuesday,20000
2022-08-02,District D,50.3,24.8,Tuesday,12000
2022-08-02,District E,32.9,25.9,Tuesday,8000
2022-08-03,District A,32.6,32.2,Wednesday,10000
2022-08-03,District B,39.7,31.1,Wednesday,15000
2022-08-03,District C,80.4,28.7,Wednesday,20000
